f_id,f_ori_name,f_eng_name,langual,f_origen,edible_portion
716,Queso de arzúa,"Cheese, ""arzúa"" type",A0313 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0146 F0018 G0003 H0107 H0289 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
717,Queso Ibores,"Cheese, ""ibores"" type",A0311 A0452 A0626 A0720 A0724 A0776 B1328 C0245 E0146 F0018 G0003 H0107 H0291 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,0.750000
718,Queso Mahón,"Cheese, ""mahón"" type",A0312 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0146 F0003 G0003 H0107 H0291 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,0.190000
719,Queso Zamorano,"Cheese, ""zamorano"" type",A0312 A0452 A0626 A0720 A0724 A0776 B1183 C0245 E0146 F0003 G0003 H0107 H0293 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,0.360000
720,Queso torta del casar,"Cheese, ""torta del casar"" type",A0313 A0452 A0626 A0720 A0724 A0776 A0786 B1183 C0245 E0146 F0018 G0003 H0107 H0291 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0073 Z0112,BEDCA,0.650000
721,Queso San Simón,"Cheese, ""san simón"" type",A0312 A0313 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0146 F0003 G0003 H0107 H0291 H0298 J0106 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,0.480000
722,Queso majorero,"Cheese, ""majorero"" type",A0312 A0452 A0626 A0720 A0724 A0776 B1328 C0245 E0146 F0003 G0003 H0107 H0289 H0298 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,0.600000
723,Queso Raclette,Raclette cheese,A0312 A0313 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0105 F0018 G0003 H0107 H0253 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0147,BEDCA,0.600000
730,"Berenjena, frita, en aceite de girasol","Aubergine, fried, in sunflowerseed oil",A0152 A0455 A0629 A0677 A0705 A0731 A0828 B1458 C0138 E0141 F0023 G0029 H0319 H0347 H0367 J0003 K0003 N0001 P0024 R0212 R0497 Z0110 Z0205,BEDCA,1.000000
731,"Boniato, crudo","Sweet potato, raw",A0152 A0455 A0629 A0681 A0706 A0731 A0829 B1106 C0239 E0150 F0003 G0003 H0001 J0001 K0001 M0001 N0001 P0024 R0212 R0497 Z0205 Z0215,BEDCA,0.790000
732,"Berro, crudo","Watercress, raw",A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1492 C0200 E0150 F0003 G0003 H0001 J0001 K0001 M0001 N0001 P0024 R0212 R0497 Z0205 Z0215,BEDCA,0.670000
733,"Achicoria, cruda","Chicory, raw",A0152 A0455 A0629 A0678 A0705 A0731 A0826 B1552 C0200 E0150 F0003 G0003 H0003 J0001 K0001 M0001 N0001 P0024 R0212 R0497 Z0112 Z0205,BEDCA,1.000000
735,"Anguila, al horno","European eel, baked",A0267 A0460 A0634 A0717 A0727 A0747 A0804 B2706 C0173 E0150 F0014 G0005 H0151 H0341 H0349 H0367 J0003 K0003 M0182 N0042 P0024 R0212 R0497 Z0062 Z0109,BEDCA,0.750000
736,"Anguila, cruda","European eel, raw",A0267 A0460 A0634 A0717 A0727 A0747 A0801 B2706 C0173 E0150 F0003 G0003 H0001 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0062 Z0215,BEDCA,0.770000
737,"Anguila, hervida","Europan eel, boiled",A0267 A0460 A0634 A0717 A0727 A0747 A0801 B2706 C0173 E0150 F0014 G0014 H0148 H0151 H0341 H0349 H0367 J0003 K0003 M0182 N0042 P0024 R0212 R0497 Z0062 Z0109,BEDCA,0.800000
739,"Apio, en conserva en salmuera","Celery, canned, in brine",A0271 A0455 A0629 A0682 A0705 A0731 A0826 B1282 C0101 E0151 F0014 G0003 H0148 H0190 J0123 J0137 K0018 M0001 N0001 P0024 R0212 R0497 Z0112 Z0205,BEDCA,1.000000
740,"Arenque, ahumado","Herring, smoked",A0267 A0460 A0634 A0664 A0717 A0727 A0802 B1586 C0268 E0122 F0001 G0003 H0118 H0227 H0367 J0106 K0027 M0190 M0199 N0036 N0042 P0024 R0212 R0495 Z0062 Z0112,BEDCA,0.610000
741,"Arenque, salado","Herring, salted",A0267 A0460 A0634 A0664 A0717 A0727 A0802 B1586 C0268 E0122 F0001 G0003 H0173 H0227 J0103 K0027 M0190 M0199 N0036 N0042 P0024 R0212 R0495 Z0062 Z0112,BEDCA,0.590000
742,"Atún, al horno","Tuna, baked",A0267 A0460 A0634 A0664 A0717 A0727 A0804 B1269 C0265 E0122 F0014 G0005 H0151 H0341 H0367 J0003 K0003 M0182 N0042 P0024 R0212 R0495 Z0058 Z0109,BEDCA,0.540000
745,"Bacalao, ahumado","Cod, smoked",A0267 A0460 A0634 A0664 A0717 A0727 A0802 B1842 C0268 E0145 F0014 G0004 H0172 H0227 H0367 J0106 K0027 M0190 M0199 N0036 N0042 P0024 R0212 R0497 Z0056 Z0112,BEDCA,0.990000
746,Aceite de algodón,Cotton oil,A0453 A0700 A0728 A0764 A0806 B1210 C0190 E0139 F0001 G0003 H0197 H0206 J0001 K0003 M0001 N0001 P0024 R0001 Z0112 Z0205,BEDCA,1.000000
747,Aceite de cacahuete,Peanut oil,A0129 A0453 A0627 A0700 A0728 A0764 A0806 B1337 C0190 E0139 F0001 G0003 H0197 H0206 J0003 K0003 M0194 N0001 P0024 R0001 Z0112 Z0205,BEDCA,1.000000
748,Aceite de coco,Coconut oil,A0129 A0453 A0627 A0700 A0728 A0764 A0806 B1536 C0190 E0119 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024 R0001 Z0112 Z0205,BEDCA,1.000000
749,Aceite de germen de trigo,Wheat germ oil,A0129 A0453 A0627 A0700 A0728 A0764 A0806 B1312 C0190 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024 R0212 Z0112 Z0205,BEDCA,1.000000
750,Aceite de nuez,Walnut oil,A0129 A0453 A0627 A0700 A0728 A0764 A0806 B1290 C0190 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024 R0001 Z0112 Z0205,BEDCA,1.000000
751,Aceite de palma,Palm oil,A0129 A0453 A0627 A0700 A0728 A0764 A0806 B1286 C0190 E0119 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024 R0001 Z0112 Z0205,BEDCA,1.000000
752,Aceite de sésamo,Sesame oil,A0129 A0453 A0627 A0700 A0728 A0764 A0806 B1226 C0190 E0139 F0001 G0003 H0197 H0206 J0001 K0003 M0001 N0001 P0024 R0001 Z0112 Z0205,BEDCA,1.000000
753,Aceite de colza,Rape oil,A0129 A0453 A0627 A0700 A0728 A0764 A0806 B1248 C0190 E0139 F0014 G0003 H0197 H0206 J0001 K0003 M0001 N0001 P0024 R0212 Z0112 Z0205,BEDCA,1.000000
754,Aceite de grano de uva,Grape seed oil,A0129 A0453 A0627 A0700 A0728 A0764 A0806 B1329 C0190 E0139 F0001 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024 R0001 Z0112 Z0205,BEDCA,1.000000
755,Aceite de hígado de bacalao,Cod liver oil,A0129 A0453 A0627 A0700 A0728 A0764 A0811 B1842 C0190 E0139 F0018 G0003 H0206 J0003 K0003 M0194 N0001 P0024 R0001 Z0112 Z0205,BEDCA,1.000000
756,Mantequilla salada,Butter with salt,A0148 A0702 A0724 A0776 A0778 B1201 C0179 E0119 F0018 G0003 H0173 J0135 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
757,"Huevo de codorniz, entero, crudo","Egg, quail, whole, raw",A0261 A0461 A0635 A0718 A0725 A0744 A0790 B1346 C0225 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,0.900000
758,"Huevo de gallina, escalfado","Egg, chicken, whole, poached",A0261 A0461 A0635 A0718 A0725 A0744 A0792 B1713 C0225 E0147 F0014 G0020 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
759,"Huevo de gallina, frito","Egg, chicken, whole, fried",A0261 A0461 A0635 A0718 A0725 A0744 A0792 B1713 C0225 E0140 F0014 G0029 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
760,"Huevo de gallina, pasado por agua","Egg, chicken, whole, boiled",A0261 A0461 A0635 A0718 A0725 A0744 A0792 B1713 C0225 E0139 F0014 G0014 H0003 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
761,"Huevo de gallina, revuelto, con mantequilla","Egg, scrambled, with butter",A0261 A0461 A0635 A0718 A0725 A0744 A0792 B1713 C0194 E0134 F0014 G0026 H0271 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
762,"Huevo de gallina, yema, desecada","Egg, chicken, yolk, dried",A0261 A0461 A0635 A0718 A0725 A0744 A0790 B1713 C0215 E0117 F0018 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
763,"Huevo de pavo, entero, crudo","Egg, turkey, whole, raw",A0261 A0461 A0635 A0718 A0725 A0744 A0791 B1236 C0225 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,0.890000
764,"Huevo de pato, crudo","Egg, duck, whole, raw",A0261 A0461 A0635 A0718 A0725 A0744 A0791 B1316 C0225 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,BEDCA,1.000000
766,"Barra chocolate, tipo ""bounty""","Chocolate bar, type ""bounty""",A0288 A0456 A0630 A0699 A0733 A0768 A0835 B1012 C0108 E0105 F0014 G0003 H0100 H0177 H0205 H0231 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0112 Z0205,BEDCA,1.000000
767,Barrita cereales maíz y trigo,"Cereal bar, with corn and wheat",A0106 A0457 A0631 A0696 A0729 A0759 A0812 B1347 C0001 E0140 F0014 G0004 H0136 H0138 H0152 H0221 H0227 H0319 H0320 J0116 K0003 M0118 N0042 P0024 R0212 R0497 Z0112 Z0205,BEDCA,1.000000
768,Barrita cereales trigo y chocolate,"Cereal bar, with wheat and chocolate",A0106 A0457 A0631 A0696 A0729 A0759 A0812 B1347 C0001 E0140 F0014 G0004 H0136 H0138 H0152 H0221 H0227 H0231 H0319 J0116 K0003 M0118 N0042 P0024 R0212 R0497 Z0112 Z0205,BEDCA,1.000000
