internal_id,food_name,food_name_original,food_name_es,food_name_en,food_name_normalized,sci_name,langual_codes,source,source_id,country,language,food_type,category,subcategory,state,preparation,edible_portion,reference_basis,kcal_100g,kj_100g,energy_calculated,protein_g_100g,carbohydrates_g_100g,sugars_g_100g,starch_g_100g,fat_g_100g,saturated_fat_g_100g,monounsaturated_fat_g_100g,polyunsaturated_fat_g_100g,trans_fat_g_100g,omega3_g_100g,omega6_g_100g,fiber_g_100g,sodium_mg_100g,salt_g_100g,salt_calculated,cholesterol_mg_100g,water_g_100g,alcohol_g_100g,calcium_mg_100g,iron_mg_100g,magnesium_mg_100g,phosphorus_mg_100g,potassium_mg_100g,zinc_mg_100g,copper_mg_100g,iodine_ug_100g,selenium_ug_100g,vitamin_a_ug_100g,vitamin_c_mg_100g,vitamin_d_ug_100g,vitamin_e_mg_100g,vitamin_b6_mg_100g,vitamin_b12_ug_100g,folate_ug_100g,thiamine_mg_100g,riboflavin_mg_100g,niacin_mg_100g,pantothenic_acid_mg_100g,biotin_ug_100g,added_sugars_g_100g,lactose_g_100g,polyols_g_100g,choline_mg_100g,caffeine_mg_100g,manganese_mg_100g,fluoride_mg_100g,arachidic_acid_g_100g,lauric_acid_g_100g,myristic_acid_g_100g,palmitic_acid_g_100g,stearic_acid_g_100g,oleic_acid_g_100g,linoleic_acid_g_100g,alpha_linolenic_acid_g_100g,arachidonic_acid_g_100g,epa_g_100g,dha_g_100g,brand,barcode,package_size_g,package_price,price_per_kg,price_per_100g,cost_per_20g_protein,cost_per_30g_protein,protein_per_euro,search_name,search_tokens,aliases,data_quality_score,preferred_record,duplicate_group_id,validation_status,validation_notes,notes,created_at,updated_at
BEDCA-2126,"Huevo de gallina, hervido, duro","Huevo de gallina, hervido, duro","Huevo de gallina, hervido, duro","Egg, chicken, cooked, hard boiled",huevo de gallina hervido duro,,A0718 A0725 A0790 A1038 A1260 A1275 B1713 C0194 E0150 F0014 G0015 H0003 J0003 K0003 M0001 N0001 P0024 Z0154,BEDCA,2126,ES,es,generic,,,hervido,,1.0,100g,144.86,606.1,False,12.5,0.3,,,10.5,3.1,4.2,1.3,,,,,133.0,0.3325,True,380.0,75.7,0.0,53.0,1.8,11.0,186.0,126.0,1.3,,44.0,24.9,207.0,0.0,1.7,1.2,0.1,1.2,60.0,0.07,0.35,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huevo de gallina, hervido, duro",huevo huevos de des gallina gallinas hervido hervidos duro duros egg eggs chicken chickens cooked cookeds hard hards boiled boileds,"Egg, chicken, cooked, hard boiled",87,True,GRP-01791,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2127,Huevo de gallina fresco,Huevo de gallina fresco,Huevo de gallina fresco,"Egg, chicken, whole, raw",huevo de gallina fresco,,A0718 A0725 A0791 A1038 A1260 A1271 B1713 C0128 E0150 F0003 G0003 H0003 J0001 K0004 M0128 M0156 N0036 N0039 P0024 R0001 Z0112,BEDCA,2127,ES,es,generic,,,crudo,,0.88,100g,148.95,623.2,False,12.5,,,0.0,11.1,3.1,3.97,1.74,,,,0.0,140.0,0.35,True,385.0,76.4,0.0,57.0,1.9,12.0,200.0,130.0,1.3,,20.0,11.0,190.0,0.0,1.75,1.11,0.12,2.5,50.0,0.09,0.47,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huevo de gallina fresco,huevo huevos de des gallina gallinas fresco frescos egg eggs chicken chickens whole wholes raw raws,"Egg, chicken, whole, raw",87,True,GRP-01789,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2129,Anchoas en aceite vegetal,Anchoas en aceite vegetal,Anchoas en aceite vegetal,Anchovy in vegetable oil,anchoas en aceite vegetal,,A0717 A0727 A0802 A1140 A1265 A1285 B1554 C0120 E0150 F0014 G0013 H0263 H0367 J0123 K0021 M0175 M0182 M0204 N0042 P0024 R0001 Z0112,BEDCA,2129,ES,es,generic,,,en_conserva,,1.0,100g,203.25,850.4,False,28.89,0.0,,,9.71,2.203,3.77,2.562,,,,0.0,3668.0,9.17,True,85.0,61.0,0.0,232.0,4.63,69.0,262.0,554.0,2.44,,,68.1,67.4,0.0,11.8,3.33,0.203,3.4,18.5,0.078,0.363,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anchoas en aceite vegetal,anchoas anchoa en ens aceite aceites vegetal vegetals anchovy anchovys in ins vegetable vegetables oil oils,Anchovy in vegetable oil,93,True,GRP-00271,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2130,Atún en aceite de oliva isabel,Atún en aceite de oliva isabel,Atún en aceite de oliva isabel,Tuna in olive oil,atun en aceite de oliva isabel,,A0717 A0727 A0802 A1140 A1265 A1285 B1269 C0270 E0152 F0014 G0013 H0341 H0367 J0123 K0038 M0175 M0182 M0204 N0042 P0024 R0001 Z0112,BEDCA,2130,ES,es,generic,,,en_conserva,,1.0,100g,179.25,749.97,False,26.53,0.0,,,8.08,1.05,3.313,3.72,,,,0.0,396.0,0.99,True,31.0,64.02,0.0,4.0,0.65,34.0,267.0,333.0,0.47,,8.0,60.1,62.2,2.2,5.0,2.3,0.43,,16.8,0.017,0.079,11.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atún en aceite de oliva isabel,atun atuns en ens aceite aceites de des oliva olivas isabel isabels tuna tunas in ins olive olives oil oils,Tuna in olive oil,93,True,GRP-00320,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2131,Atun en aceite vegetal,Atun en aceite vegetal,Atun en aceite vegetal,Tuna in vegetable oil,atun en aceite vegetal,,A0717 A0727 A0747 A0802 A1265 A1285 B1269 C0243 E0107 F0014 G0013 H0001 J0110 K0003 M0182 N0042 R0212 Z0058 Z0112 Z0153,BEDCA,2131,ES,es,generic,,,en_conserva,,1.0,100g,203.75,852.47,False,23.81,0.0,,,12.1,1.8,3.6,5.5,,,,0.0,,,False,39.8,61.4,0.0,27.7,1.2,28.2,,,1.1,,34.2,,62.2,,24.7,6.3,0.42,5.0,16.8,0.1,0.1,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atun en aceite vegetal,atun atuns en ens aceite aceites vegetal vegetals tuna tunas in ins vegetable vegetables oil oils,Tuna in vegetable oil,87,True,GRP-00322,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2132,Atún en escabeche,Atún en escabeche,Atún en escabeche,Pickled tuna,atun en escabeche,,A0717 A0727 A0802 A1140 A1265 A1285 B1269 C0270 E0152 F0014 G0013 H0200 H0263 H0367 J0123 K0040 M0175 M0182 M0204 N0042 P0024 R0001 Z0112,BEDCA,2132,ES,es,generic,"Fish, seafood, amphibians, reptiles and invertebrates",Fish and seafood processed,,,1.0,100g,100.79,421.7,False,23.5,0.0,,,0.6,0.23,0.1,0.21,,,,0.0,320.0,0.8,True,51.0,75.9,0.0,8.0,1.0,27.0,170.0,230.0,0.7,,13.0,78.0,65.0,0.0,4.0,0.55,0.47,4.3,16.0,0.02,0.11,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atún en escabeche,atun atuns en ens escabeche escabeches pickled pickleds tuna tunas,Pickled tuna,93,True,GRP-00323,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2133,"Atún, al natural","Atún, al natural","Atún, al natural","Tuna, canned in water",atun al natural,,A0717 A0727 A0747 A0802 A1265 A1285 B1269 C0243 E0107 F0014 G0013 H0367 J0110 K0003 M0182 N0042 R0212 Z0058 Z0112 Z0153,BEDCA,2133,ES,es,generic,,,,,1.0,100g,100.79,421.7,False,23.5,0.0,,,0.6,0.2,0.1,0.2,,,,0.0,320.0,0.8,True,51.0,75.9,0.0,28.0,1.0,27.0,170.0,230.0,0.7,,13.0,80.4,60.0,0.0,4.0,0.55,0.47,4.0,7.0,0.02,0.11,18.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atún, al natural",atun atuns al als natural naturals tuna tunas canned canneds in ins water waters,"Tuna, canned in water",93,True,GRP-00311,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2134,"Atún, crudo","Atún, crudo","Atún, crudo","Tuna, raw",atun crudo,thunnus thynnus,A0717 A0727 A0747 A0802 A1265 A1285 B1269 C0243 E0150 F0003 G0003 H0003 J0142 K0003 M0001 N0001 R0212 Z0058 Z0153,BEDCA,2134,ES,es,generic,,,crudo,,0.58,100g,118.57,496.1,False,22.0,0.0,,,3.3,0.96,0.65,1.32,,0.756,0.106,0.0,47.0,0.1175,True,28.0,67.3,0.0,16.0,1.3,33.0,230.0,400.0,0.7,,8.0,82.0,26.0,,7.2,1.0,0.4,4.0,15.0,0.1,0.13,12.8,,,,,,,,,,,,,0.508,0.186,0.262,0.029,0.007,0.077,0.101,0.648,,,,,,,,,,"Atún, crudo",atun atuns crudo crudos tuna tunas raw raws,"Tuna, raw",93,True,GRP-00315,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2135,"Atún, plancha","Atún, plancha","Atún, plancha","Tuna, griddle",atun plancha,,A0717 A0727 A0747 A0802 A1265 A1285 B1269 C0243 E0150 F0014 G0008 H0003 J0142 K0003 M0001 N0001 R0212 Z0058 Z0153,BEDCA,2135,ES,es,generic,,,a_la_plancha,,1.0,100g,199.57,835.0,False,23.0,,,,12.0,2.77,2.39,3.07,,,,0.0,40.0,0.1,True,55.0,65.0,0.0,38.0,1.3,28.0,200.0,40.0,1.1,,10.0,46.8,60.0,0.0,25.0,0.0,0.41,5.0,15.0,0.04,0.2,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atún, plancha",atun atuns plancha planchas tuna tunas griddle griddles,"Tuna, griddle",87,True,GRP-00325,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2136,Bacaladilla,Bacaladilla,Bacaladilla,Whiting,bacaladilla,micromesistius poutasso,A0717 A0727 A0802 A1144 A1265 A1285 B1640 C0275 E0150 F0003 G0003 H0003 J0142 K0003 M0166 M0173 N0036 N0039 P0024 R0001 Z0215,BEDCA,2136,ES,es,generic,"Fish, seafood, amphibians, reptiles and invertebrates",Fish,,,0.64,100g,76.89,321.7,False,17.4,0.0,,0.0,0.7,0.18,0.08,0.28,,0.25,0.003,0.0,77.0,0.1925,True,46.0,81.9,0.0,16.0,0.3,23.0,218.0,320.0,0.4,,30.0,28.0,,,,0.44,0.33,2.0,12.0,0.08,0.07,4.9,,,,,,,,,,,,,,,,0.002,0.004,0.001,0.108,0.138,,,,,,,,,,Bacaladilla,bacaladilla bacaladillas whiting whitings,Whiting,93,True,GRP-00335,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2155,Cereales desayuno base muesli,Cereales desayuno base muesli,Cereales desayuno base muesli,"Breakfast cereal, granola",cereales desayuno base muesli,,A0457 A0692 A0729 A0816 A0973 A1240 A1290 B1047 C0155 E0117 F0014 G0003 H0138 H0152 H0158 H0177 J0116 K0003 M0172 N0036 P0024 R0212 Z0112,BEDCA,2155,ES,es,generic,,,,,1.0,100g,370.22,1549.0,False,10.3,65.8,,,6.9,0.5,3.4,2.3,,,,6.1,38.2,0.0955,True,0.3,9.1,0.0,37.4,8.4,77.7,288.7,323.0,2.5,,17.7,5.9,1.0,84.3,0.0,1.5,2.7,1.4,268.0,2.6,1.4,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cereales desayuno base muesli,cereales cereal desayuno desayunos base bases muesli mueslis breakfast breakfasts cereals granola granolas,"Breakfast cereal, granola",93,True,GRP-00737,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2156,Mijo,Mijo,Mijo,Millet,mijo,,A0457 A0696 A0729 A0814 A0965 A1240 B2505 C0155 E0150 F0003 G0003 H0001 J0003 K0003 M0003 N0001 P0024 R0212 Z0112,BEDCA,2156,ES,es,generic,Grains and grain-based products,Cereals and similar,,,1.0,100g,343.54,1437.37,False,11.01,64.4,,,4.2,0.72,0.77,2.14,,,,8.5,5.0,0.0125,True,0.0,11.9,0.0,8.0,3.01,114.0,285.0,195.0,1.7,,2.5,2.7,0.0,0.0,0.0,0.41,0.38,0.0,85.0,0.42,0.3,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mijo,mijo mijos millet millets,Millet,93,True,GRP-02338,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2157,Miso,Miso,Miso,Miso,miso,,A0722 A0735 A0859 A1276 B1452 C0155 E0119 F0001 G0003 H0128 H0338 H0367 J0003 K0001 M0001 N0001 P0024 R0001,BEDCA,2157,ES,es,generic,,,,,1.0,100g,208.2,871.09,False,11.69,26.47,,,6.01,1.139,1.242,3.204,,,,5.4,3728.0,9.32,True,0.0,43.02,0.0,57.0,2.49,48.0,159.0,210.0,2.56,,,7.0,26.1,0.0,0.0,0.01,0.199,0.08,19.0,0.098,0.233,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miso,miso misos,,93,True,GRP-02351,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2158,Muesli,Muesli,Muesli,Granola,muesli,,A0457 A0692 A0729 A0816 A0970 A1240 A1290 B1047 C0155 E0117 F0014 G0003 H0138 H0147 H0152 H0177 J0116 K0003 M0172 N0036 P0024 R0212 Z0112,BEDCA,2158,ES,es,generic,Grains and grain-based products,Breakfast cereals,,,1.0,100g,381.69,1597.0,False,9.0,61.0,,,11.0,2.5,3.39,1.77,,,,8.0,200.0,0.5,True,0.0,11.0,0.0,50.0,6.6,70.0,250.0,400.0,1.5,,5.0,17.3,164.0,51.0,4.25,2.9,1.7,0.85,200.9,0.8,0.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muesli,muesli mueslis granola granolas,Granola,93,True,GRP-02388,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
BEDCA-2159,Palmera,Palmera,Palmera,Butterfly cookies,palmera,,A0202 A0456 A0695 A0733 A0821 A0951 A1240 A1290 B1312 C0155 E0147 F0014 G0005 H0158 H0184 H0186 H0221 J0003 K0003 M0001 N0001 P0024 R0212 Z0112,BEDCA,2159,ES,es,generic,Grains and grain-based products,Fine bakery wares,,,1.0,100g,533.46,2232.0,False,5.0,61.0,,,30.0,15.24,11.51,2.33,0.027,,,2.4,431.0,1.0775,True,92.0,1.6,0.0,11.0,2.0,11.0,50.0,76.0,0.4,,10.0,16.2,120.0,0.0,0.92,4.8,0.07,1.1,17.2,0.03,0.03,0.8,,,,,,,,,,,0.01,0.05,2.273,0.231,1.272,0.736,0.006,,,,,,,,,,,,,Palmera,palmera palmeras butterfly butterflys cookies cooki,Butterfly cookies,93,True,GRP-02488,OK,,f_origen original: BEDCA2,2026-09-20T04:34:56.400294+00:00,2026-09-20T04:34:56.400294+00:00
